,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBGI,adult#003,2.542122166658958,3.2069758453776673,4.296367472054788,4.172439497665781,1.9090205811206893,0.32947116152424555,0.2824062571556625,1.1772998095249405,3.2234290638954968,6.318709253655227,7.648314029985438,4.519313318926596,1.474110801423388,0.7430687976753914,2.307804736329395,7.532773168323129,13.401632331394794,11.312905375573445,5.582535988345529,2.557679627908005,2.9087445674978003,6.600866133900707,10.5540575081493,8.854817925519814
Risk Index,adult#003,2.542122166658958,3.2069758453776673,4.296367472054788,4.172439497665781,1.9090205811206893,0.32947116152424555,0.2824062571556625,1.1772998095249405,3.2234290638954968,6.318709253655227,7.648314029985438,4.519313318926596,1.474110801423388,0.7430687976753914,2.307804736329395,7.532773168323129,13.401632331394794,11.312905375573445,5.582535988345529,2.557679627908005,2.9087445674978003,6.600866133900707,10.5540575081493,8.854817925519814
