,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#004,0.0,0.38679913520809006,18.55581347013565,36.21531583289632,22.670743642864103,5.472114452113381,0.06985458457090064,0.0,0.01817465707277318,12.262368980562268,30.863878372229266,19.936451618367236,4.478557522735998,0.029726484824011263,0.0,3.0281814465890484,33.8388105159688,41.80612769831948,21.51368570944494,4.135853984360074,0.011694590482656026,0.0,3.5446026155254216,46.75134208650941
HBGI,adult#004,2.8743219697201785,0.7131868840738015,0.0,0.0,0.0,0.0,0.719917664682239,6.611914714095588,3.4713384067458994,0.0,0.0,0.0,0.0,0.9342053622134202,5.3486067295949855,0.5041231991054962,0.0,0.0,0.0,0.0,1.2477523696267727,6.605064006735377,0.7924009555170539,0.0
Risk Index,adult#004,2.8743219697201785,1.0999860192818915,18.55581347013565,36.21531583289632,22.670743642864103,5.472114452113381,0.7897722492531396,6.611914714095588,3.4895130638186727,12.262368980562268,30.863878372229266,19.936451618367236,4.478557522735998,0.9639318470374315,5.3486067295949855,3.532304645694545,33.8388105159688,41.80612769831948,21.51368570944494,4.135853984360074,1.2594469601094287,6.605064006735377,4.337003571042476,46.75134208650941
