,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBGI,adult#002,1.3038797208523456,1.5088781976609753,2.467723300768033,4.557229401424921,6.9722963657098465,7.877515768923378,6.614365492026229,5.64669591009144,5.818873896137298,6.192564906424855,7.367609026946482,9.815596873861372,12.146391162117565,10.973451534529849,7.442839140302654,4.23836932370157,3.053991861303738,3.598408333253713,4.5691317251467645,5.289129518475414,6.4932811931347745,8.045700133052609,8.754230607619624,6.747077002509982
Risk Index,adult#002,1.3038797208523456,1.5088781976609753,2.467723300768033,4.557229401424921,6.9722963657098465,7.877515768923378,6.614365492026229,5.64669591009144,5.818873896137298,6.192564906424855,7.367609026946482,9.815596873861372,12.146391162117565,10.973451534529849,7.442839140302654,4.23836932370157,3.053991861303738,3.598408333253713,4.5691317251467645,5.289129518475414,6.4932811931347745,8.045700133052609,8.754230607619624,6.747077002509982
