,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#002,0.0,0.0,0.00010378125064798673,0.18130074411579297,0.5148728398658361,0.18373419869431412,3.186397214866343e-05,0.0,0.0,0.0,0.19932549589943366,0.7953004204540631,0.3868484166993216,0.005448069241233252,0.0,0.0,0.0,0.0,0.0,0.0,0.004058247864503324,0.18233457833285055,0.4608375948735617,0.21110329512959636
HBGI,adult#002,1.2930792386745242,0.9801723775109357,0.1610716828094224,0.0,0.0,0.0,0.21213118155400285,1.2866157667445086,1.4776497050767117,0.42506897566709173,0.0005405085745632716,0.0,0.0,0.09278432311433471,0.7607328650180711,1.2213543978742867,1.653381760836916,2.1875359340916485,2.01854310286556,0.787061061833645,0.05232513578298945,0.0,0.0,0.0
Risk Index,adult#002,1.2930792386745242,0.9801723775109357,0.1611754640600704,0.18130074411579297,0.5148728398658361,0.18373419869431412,0.2121630455261515,1.2866157667445086,1.4776497050767117,0.42506897566709173,0.19986600447399694,0.7953004204540631,0.3868484166993216,0.09823239235556797,0.7607328650180711,1.2213543978742867,1.653381760836916,2.1875359340916485,2.01854310286556,0.787061061833645,0.05638338364749278,0.18233457833285055,0.4608375948735617,0.21110329512959636
