,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.026045854282008e-07,0.0011699286517768705,0.0,0.0,0.0,0.0,0.00019226958565057964,0.03925120692306372,0.00014382446949215525,0.0,0.0,0.0,0.0
HBGI,adult#004,3.0161726359381613,3.460593918177885,4.748607571189669,7.0583080650968215,6.655394578693082,1.7121697912939375,0.2621824124431481,1.8306622607860092,7.346902971064148,10.567461320414072,4.760800046238224,0.37880960477827197,0.02452189901577203,1.528859866206061,8.45965206548526,15.746466258623633,8.913071629282614,0.7365209012174659,0.0,0.10018462371231143,0.896385299736487,2.354163895835951,3.9240194502988395,4.9870974463377795
Risk Index,adult#004,3.0161726359381613,3.460593918177885,4.748607571189669,7.0583080650968215,6.655394578693082,1.7121697912939375,0.2621824124431481,1.8306622607860092,7.346902971064148,10.567461320414072,4.760800046238224,0.37881030738285737,0.0256918276675489,1.528859866206061,8.45965206548526,15.746466258623633,8.913071629282614,0.7367131708031165,0.03925120692306372,0.10032844818180359,0.896385299736487,2.354163895835951,3.9240194502988395,4.9870974463377795
