,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#003,0.0,0.0,0.13915162287804056,1.9113068165762273,2.6339619771282696,0.5473020584560914,0.0,0.0,0.0,0.06996662874133278,1.3467380340911264,1.661355003705673,0.18211580852383963,0.0,0.0,0.022150205238140885,0.576507346857323,0.3166845699078291,0.0,0.0,0.0008022793580893664,3.4185357326118706,17.974052178635148,22.828980092503656
HBGI,adult#003,2.4894024256517744,1.4817709819673073,0.06214004417108082,0.0,0.0,0.001711645880788544,1.2812617881369806,3.6068337943989386,1.8886001868855966,0.09602330271540364,0.0,0.0,0.04011076023869223,1.703790160765132,2.3180257121574988,0.20250855416313307,0.0,0.0,0.5806815823422696,2.5956673893072684,0.9985796942191382,0.0,0.0,0.0
Risk Index,adult#003,2.4894024256517744,1.4817709819673073,0.20129166704912138,1.9113068165762273,2.6339619771282696,0.5490137043368799,1.2812617881369806,3.6068337943989386,1.8886001868855966,0.1659899314567364,1.3467380340911264,1.661355003705673,0.22222656876253186,1.703790160765132,2.3180257121574988,0.22465875940127394,0.576507346857323,0.3166845699078291,0.5806815823422696,2.5956673893072684,0.9993819735772276,3.4185357326118706,17.974052178635148,22.828980092503656
