,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBGI,adult#001,1.5143269389971985,1.6241157029056166,2.111863327132966,3.1003920569358203,4.265047311495641,5.326348784825688,6.097876235806825,6.214996007838229,5.492836102672622,4.892006020608615,4.722841674026066,4.994935380688091,5.373364332022442,5.871595377934036,6.800250864301776,7.780646912297852,7.759299544176325,6.458632180492666,4.5859615156693225,3.1624094795009023,2.64555757635688,2.9214242231496077,3.7472770624548724,4.828751911786582
Risk Index,adult#001,1.5143269389971985,1.6241157029056166,2.111863327132966,3.1003920569358203,4.265047311495641,5.326348784825688,6.097876235806825,6.214996007838229,5.492836102672622,4.892006020608615,4.722841674026066,4.994935380688091,5.373364332022442,5.871595377934036,6.800250864301776,7.780646912297852,7.759299544176325,6.458632180492666,4.5859615156693225,3.1624094795009023,2.64555757635688,2.9214242231496077,3.7472770624548724,4.828751911786582
