,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBGI,adult#005,1.974387305854405,2.179434363645525,2.9214655148771245,4.250920382323317,5.500169451967163,5.617999147572304,4.814491262308532,4.293175664926666,4.6241161971131115,5.286600092609673,6.0672353547499736,6.657959104003676,7.09531074225699,7.5223283302928525,7.0229530030978085,5.141932032345233,2.756633690030024,1.3075335315791574,0.9960584833751591,1.4610586513945796,2.5276760186156446,3.840028142193497,4.988138060955551,5.908157338235716
Risk Index,adult#005,1.974387305854405,2.179434363645525,2.9214655148771245,4.250920382323317,5.500169451967163,5.617999147572304,4.814491262308532,4.293175664926666,4.6241161971131115,5.286600092609673,6.0672353547499736,6.657959104003676,7.09531074225699,7.5223283302928525,7.0229530030978085,5.141932032345233,2.756633690030024,1.3075335315791574,0.9960584833751591,1.4610586513945796,2.5276760186156446,3.840028142193497,4.988138060955551,5.908157338235716
