,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#005,0.0,0.0,0.0,0.0,0.0011943725032180306,0.19782076989911057,0.4753133877793879,0.2248462250707532,0.004636802363866903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.578758159056562e-05,0.06724548704984483,0.0,0.0064942537035389755,0.13153006492671546,0.013640533081121165,0.0
HBGI,adult#005,1.960228870743848,1.8617104776407516,1.4663154659594313,0.658218301595154,0.0736775357886011,0.0,0.0,0.0,0.3137422636103584,2.7726518530586035,3.16544279726815,1.6880232376991913,2.104364104120288,6.781680459908631,3.6388059073319936,0.573514244498408,0.5803615978578601,0.26400454109780347,0.0018228602058421996,0.16368321968772187,0.031963133701728985,0.0,0.006648469367944422,0.032443803108025665
Risk Index,adult#005,1.960228870743848,1.8617104776407516,1.4663154659594313,0.658218301595154,0.07487190829181914,0.19782076989911057,0.4753133877793879,0.2248462250707532,0.3183790659742253,2.7726518530586035,3.16544279726815,1.6880232376991913,2.104364104120288,6.781680459908631,3.6388059073319936,0.573514244498408,0.5803615978578601,0.264020328679394,0.06906834725568703,0.16368321968772187,0.03845738740526796,0.13153006492671546,0.020289002449065587,0.032443803108025665
