,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#004,0.0,0.0,0.6250739084796262,2.3149672817538973,0.5427782944445945,0.0,0.0,0.12259747214762014,1.900692126265413,0.08084338170919869,0.0,0.0,0.07828726845173883,0.0,0.8599465022416908,10.187962059812072,10.269906805614232,5.698091097287838,0.3793553576794245,0.0,7.534274151946528,38.73458155794527,37.43084919551155,23.34904101695809
HBGI,adult#004,2.9209213221907424,1.3610558738788725,0.006959397733909004,0.0,0.005100582881312857,2.0202094890422724,5.452338559949893,0.925173488810455,0.0,0.017490215340696953,0.6869203557646962,0.5162609816517649,0.9196905775675539,5.645924454449449,0.5349339922727653,0.0,0.0,0.0,1.761351673596603,9.306359354793956,0.21019791927695258,0.0,0.0,0.0
Risk Index,adult#004,2.9209213221907424,1.3610558738788725,0.6320333062135352,2.3149672817538973,0.5478788773259073,2.0202094890422724,5.452338559949893,1.0477709609580752,1.900692126265413,0.09833359704989564,0.6869203557646962,0.5162609816517649,0.9979778460192927,5.645924454449449,1.3948804945144562,10.187962059812072,10.269906805614232,5.698091097287838,2.1407070312760275,9.306359354793956,7.7444720712234805,38.73458155794527,37.43084919551155,23.34904101695809
